0000 Fixed up version by dummyfixup in work/ti/misc

0000	00Attract.bin
	1706-170F	Hand gets Dirk

	1710-171D	Slime gets Dirk

	171E-1738	Ghosts get Dirk

1739	c7knight1.bin
	1739-174C	Ressurection
	174D-1757	"Save me!"
	1758-1763	Knight appears
	1764-176D	Attack starts
	176E-1775	threaten
	1776-1779	Dirk jumps right
	177A-1782	threaten
	1783-178A	Dirk jumps left
	178B-178E	threaten
	178F-179A	Dirk jumps up
	179B-17A4	threaten
	17A5-17AD	Dirk jumps left
	17AE-17B4	threaten
	17B5-17B8	Dirk jumps right
	17B9-17BE	threaten
	17BF-17C0	Dirk jumps left
	17C1-17C5	threaten
	17C6-17CD	Dirk jumps right
	17CE-17E4	Dirk confronts knight
	17E5-17F3	Dirk swords him
	17F4-17FF	Dirk exits
	1800-1807	Dirk prepares to jump gap left
	1808-1812	Dirk makes the jump

	1813-1831	Game over

	1832-1843	Electrocuted by floor

	1844-1850	Knight swords Dirk

1851	c7knight2.bin
	1851-1865	Ressurection
	1866-186F	"Save me!"
	1870-187B	Knight appears
	187C-1885	Attack starts
	1886-188D	threaten
	1887-1891	Dirk jumps left
	1892-189A	threaten
	189B-18A2	Dirk jumps right
	18A3-18A6	threaten
	18A7-18B2	Dirk jumps up
	18B3-18BC	threaten
	18BD-18C5	Dirk jumps right
	18C6-18CC	threaten
	18CD-18D0	Dirk jumps left
	18D1-18D6	threaten
	18D7-18D9	Dirk jumps right
	18DA-18DD	threaten
	18DE-18E5	Dirk jumps left
	18E6-18FC	Dirk confronts knight
	18FD-190C	Dirk swords him
	190D-1917	Dirk exits
	1918-1920	Dirk prepares to jump gap right
	1921-192A	Dirk makes the jump

	192B-194A	Game over

	194B-195C	Electrocuted by floor

	195D-1968	Knight swords Dirk

1969	c7pond1.bin
	1969-197D	Ressurection
	197E-198A	Approach
	198B-1990	Threaten pit and ceiling
	1991-199C	Run left
	199D-19A0	Threaten pit and knives
	19A1-19A9	Roll up
	19AA-19B7	Threaten pit
	19B8-19C0	Jump to right
	19C1-19C7	Threaten pit
	19C8-19D1	Jump up into pond
	19D2-19DA	Threaten snakes
	19DB-19E8	Step out onto switch left
	19E9-19EC	Threaten ceiling
	19ED-1A03	Roll free up
	1A04-1A07	Threaten spider
	1A08-1A10	Sword spider
	1A11-1A14	Threaten pit
	1A15-1A19	jump right
	1A1A-1A29	threaten squash
	1A2A-1A37	Escape right

	1A38-1A57	Game Over

	1A58-1A61	Knifed

	1A62-1A73	jump into pit (movement)

	1A74-1A85	fall into pit (inaction)

	1A86-1AA4	Got by snakes

	1AA5-1AB2	crushed by ceiling (after pond)

	1AB3-1AC4	Got by spider

	1AC5-1ADB	squished by bricks

1adc	c7pond2.bin
	1ADC-1AF0	Ressurection
	1AF1-1AFD	Approach
	1AFE-1B04	Threaten pit and ceiling
	1B05-1B0F	Run right
	1B10-1B13	Threaten pit and knives
	1B14-1B1C	Roll up
	1B1D-1B2A	Threaten pit
	1B2B-1B33	Jump to left
	1B34-1B3A	Threaten pit
	1B3B-1B45	Jump up into pond
	1B46-1B4E	Threaten snakes
	1B4F-1B5B	Step out onto switch right
	1B5C-1B60	Threaten ceiling
	1B61-1B76	Roll free up
	1B77-1B7A	Threaten spider
	1B7B-1B83	Sword spider
	1B84-1B87	Threaten pit
	1B88-1B8C	jump left
	1B8D-1B9C	threaten squash
	1B9D-1BAA	Escape left

	1BAB-1BCA	Game Over

	1BCB-1BD4	Knifed

	1BD5-1BE6	jump into pit (movement)

	1BE7-1BF8	fall into pit (inaction)

	1BF9-1C16	Got by snakes

	1C17-1C24	crushed by ceiling (after pond)

	1C25-1C36	Got by spider

	1C37-1C4D	squished by bricks

1c4e	dplatform.bin
	1C4E-1C62	Ressurection
	1C63-1C8C	Intro
	1C8D-1CA2	falling (jump at 1C90-1C92, 1C96-1C98, 1C9C-1C9E) left
	1CA3-1CB2	In-between
	1CB3-1CC8	falling (jump at 1CB6-1CB8, 1CBC-1CBE, 1CC2-1CC4) right
	1CC9-1CD9	In-between
	1CDA-1CEF	falling (jump at 1CDD-1CDF, 1CE3-1CE5, 1CE9-1CEA) left
	1CF0-1D0D	platform lands on ground (death)

	1D0E-1D2D	Game over

	1D2E-1D44	mistimed jump

	1D45-1D56	Successful jump
	1D57-1D5F	Reaction shot
	1D60-1D68	Platform falling alone
	1D69-1D71	Dirk exits level


1d72	ebats.bin
	1D72-1D86	Ressurection
	1D87-1D94	Bats fly over, floor crumbles
	1D95-1DA6	Dirk swords them
	1DA7-1DAC	Floor threatens, bats approach
	1DAD-1DAF	Dirk runs left
	1DB0-1DBA	Dirk descends
	1DBB-1DC0	Stairs collapse, bats are chasing
	1DC1-1DCD	Dirk jumps and runs on
	1DCE-1DD6	Giant bat threatens
	1DD7-1DDF	Dirk swords it
	1DE0-1DE4	Floor threatens
	1DE5-1DF1	Dirk runs left

	1DF2-1E10	Game over

	1E11-1E1E	Giant bat gets Dirk

	1E1F-1E30	Little bats overwhelm Dirk

	1E31-1E42	Bats push Dirk into collapsed staircase

1e43	eblacknight.bin
	1E43-1E57	Ressurection
	1E58-1E72	Intro
	1E73-1E77	Threaten
	1E78-1E7F	Dodge left
	1E80-1E96	Interval
	1E97-1E9B	Threaten
	1E9C-1EA5	Dodge left
	1EA6-1EAD	running forward, then odd panic shot (I've always thought was a glitch)
	1EAE-1EB1	running back
	1EB2-1EB7	threaten
	1EB8-1EBD	Dodge right and roll to cave
	1EBE-1EC2	knight throws sword
	1EC3-1EC4	Dirk waits for move
	1EC5-1ECC	JUmp into cave and safe

	1ECD-1EEB	Game over

	1EEC-1EF9	Caught by vines (00a9-00ab look like he's sleeping, though)

	1EFA-1F14	Caught by knight

1f15	ecatwalk.bin
	1F15-1F29	Ressurection
	1F2A-1F3B	Intro
	1F3C-1F42	Platform Threatens
	1F43-1F47	Jump forward
	1F48-1F4C	Platform Threatens
	1F4D-1F4F	Run clear
	1F50-1F5E	Run forward
	1F5F-1F63	Bats threaten
	1F64-1F67	Sword at bats
	1F68-1F70	Platform threatens, flashes
	1F71-1F79	Dirk jumps right
	1F7A-1F7D	Platform crumbles
	1F7E-1F84	Dirk jumps for rope
	1F85-1F95	Dirk climbs up and out

	1F96-1FB5	Game over

	1FB6-1FCC	Dirk falls into water below

	1FCD-1FDE	Bats get Dirk (again, same as earlier scene)

1fdf	eelectriccage.bin
	1FDF-1FF2	Ressurection
	1FF3-2006	Intro
	2007-200D	Threaten
	200E-2018	Jump forward
	2019-201C	Threaten, door opening
	201D-201E	Door closed
	201F-2020	Opening - Last chance to jump?
	2021-2028	Jumping through and running on
	2029-202E	Electricity threatens at bridge
	202F-2034	Dirk runs up
	2035-203C	Dirk approaches bridge, geyser fires and fades
	203D-2042	Geyser fires again as Dirk steps up
	2043-2045	Safe to run
	2046-204A	Geyser fires again as Electricity threatens (006f-0070 may be in error)
	204B-204D	Safe to run
	204E-204F	Last geyser (no more chances to run)
	2050-2058	Dirk runs across to the right to safety while chased by electricity

	2059-2078	Game over

	2079-2086	Dirk jumps on open door and gets caught

	2087-2094	Dirk is electrocuted

	2095-20A2	Dirk runs into the geyser

20a3	emudmen.bin
	20A3-20B7	Ressurection
	20B8-20D6	Intro
	20D7-20EC	Mudmen, fire and geyser threaten
	20ED-2105	Dirk tries to sword to no avail
	2106-211C	Mudmen back Dirk towards the geyser
	211D-2125	Dirk jumps the geyser up
	2126-2128	Mudmen advance (chance to fall into non-geyser pools)
	2129-212E	Dirk escapes up
	212F-213B	New Mudmen threaten with flames
	213C-2141	Dirk escapes left
	2142-214A	Mudmen back Dirk towards geyser
	214B-2158	Dirk jumps the geyser up
	2159-2162	Dirk approaches a gap (river of mud)
	2163-216C	Dirk jumps to the left
	216D-217B	Mudmen back Dirk to a geyser again
	217C-2195	Dirk jumps the geyser up
	2196-21A6	Mudmen and fire threaten
	21A7-21B5	Dirk escapes up
	21B6-21C3	Fanfare and Dirk escapes

	21C4-21E2	game over

	21E3-21EC	Dirk is caught in a geyser and carried up

	21ED-21F6	Dirk is caught in a different geyser, more static?

	21F7-2208	Dirk falls into the mud

	2209-2230	Dirk falls into a flowing river of mud (gap)

	2231-2247	Mudmen push Dirk into a geyser then dive in with him

	2248-2255	Dirk steps onto fire (repeat of earlier animation)


2256	epoolballs.bin
	2256-226A	Ressurection
	226B-227F	Intro
	2280-228E	Dirk watches
	228F-2295	8 ball approaches
	2296-2299	Too early
	229A-229E	8 ball threatens
	229F-22A7	Running down
	22A8-22AA	Too early
	22AB-22B0	8 ball threatens
	22B1-22B9	Running down
	22BA-22BD	Too early
	22BE-22C2	8 ball threatens
	22C3-22CB	Running down
	22CC-22CE	Too early
	22CF-22D4	8 ball threatens
	22D5-22DD	Running down
	22DE-22E0	Too early
	22E1-22E6	8 ball threatens
	22E7-22EF	Running down
	22F0-22F1	too early
	22F2-22F8	8 ball threatens
	22F9-2301	Running down
	2302-2305	Preparing to jump pit
	2306-231D	Jump and run clear

	231E-233D	Game over

	233E-234B	Indecision - 8 ball gets Dirk

	234C-2355	Other ball gets Dirk

2356	eriver.bin
	2356-236A	Ressurection
	236B-23B4	Intro Ye Boulders
	23B5-23BD	Boulder 1 Threatens
	23BE-23C6	Move left
	23C7-23CE	Boulder 2 Threatens
	23CF-23D7	Move right
	23D8-23E1	Bridge Threatens
	23E2-23E9	Move left
	23EA-23F2	Wall Threatens
	23F3-23FB	Move right
	23FC-2414	Intro Ye Rapids
	2415-2421	Drifting right
	2422-242A	Corrected
	242B-2437	Drifting left
	2438-2440	Corrected
	2441-244D	drifing right
	244E-245A	Corrected
	245B-2467	Drifing left
	2468-2473	Corrected
	2474-2489	Intro Ye Whirlpools
	248A-2498	Threatens
	2499-24A4	Escape right
	24A5-24B0	Threatens
	24B1-24BC	Escape left
	24BD-24C7	Threatens
	24C8-24D3	Escape right
	24D4-24DF	Threatens
	24E0-24EB	Escape left
	24EC-2501	Shipwrecked!
	2502-250D	Flying near chain
	250E-2519	Grab and swing
	252A-2529	Dirk exits stage

	252A-2549	Game Over

	254A-2553	Into boulder 1

	2554-255D	Into boulder 2

	255E-2567	Into bridge

	2568-2571	Into wall

	2572-2588	Capsized by Rapids

	2589-25A0	Caught in whirlpool

	25A1-25BE	Didn't grab chain

25bf	evanishingfloor.bin
	25BF-25D3	Ressurection
	25D4-25F4	Intro
	25F5-25F9	Fire and floor threatens
	25FA-25FD	Dirk jumps back
	25FE-2603	Fire and floor threatens
	2604-2609	Dirk jumps... right? Up?
	260A-260D	Confusing posturing with floor
	260E-2613	Doors open as floor vanishes
	2614-261D	Dirk chooses LEFT door and exits

	261E-263C	Game over

	263D-2655	Dirk jumps to UP door and is trapped in cage

	2656-2663	Dirk is caught by fire

	2664-2675	Dirk falls to his doom
	
2676	fdragonslair.bin
	2676-2689	Ressurection
	268A-26B0	Intro
	26B1-26B6	Treasure threatens
	26B7-26C0	Dirk rebalances to left
	26C1-26C7	Pan to Singe
	26C8-26D9	Singe sleeps
	26DA-26F3	Daphne wakes
	26F4-270A	Dirk jumps down
	270B-271C	Singe wakes and breathes fire
	271D-272A	Dirk takes cover to left
	272B-2742	Singe looks around
	2743-2758	Singe pretends to sleep
	2759-2762	Dirk waits
	2763-276D	Treasure threatens
	276E-2778	Dirk catches to left
	2779-279C	Dirk jumps to Daphne. "Save me!"
	279D-27F7	Daphne explains how to defeat Singe
	27F8-2806	Shot of the magic sword
	2807-2817	Singe incoming
	2818-2827	Singe searching with claws
	2828-282C	Dirk ducking
	282D-2833	Singe threatens with claws
	2834-283C	Dirk escapes left
	283D-2848	Daphne reacts. What a bimbo.
	2849-2856	The chase is on!
	2857-2860	Singe flames at Dirk
	2861-286E	To the pillar!
	286F-2873	Singe threatens with tail
	2874-288B	Dirk ducks and runs
	288C-2897	Daphne again
	2898-28A0	Dirk running
	28A1-28A5	Singe flames again
	28A6-28AB	Dirk escapes up
	28AC-28B4	Singe advances
	28B5-28BC	Dirk running
	28BD-28C5	Dirk spies the sword
	28C6-28D3	Face off at center ice (above the sword)
	28D4-28E1	Dirk goes for the sword
	28E2-28E5	Singe attacks and misses
	28E6-28EB	Dirk has the sword
	28EC-28F2	Singe flames again
	28F3-28FE	Dirk blocks with the sword
	28FF-2907	Does anyone actually like Daphne? Beyond sex appeal, that is?
	2908-2917	Singe threatens with tail
	2918-291D	Dirk dodges left
	291E-2920	Singe flames again
	2921-2923	Dirk deflects 
	2924-2927	Dirk jumps forward
	2928-292A	Dirk waits (hit sword)
	292B-2932	Dirk hurls the sword and connects
	2933-294A	Singe falls
	294B-2952	Key bounces around Singe's neck
	2953-295C	Dirk takes the key
	295D-29D0	Dirk frees Daphne and gets his kiss.

	29D1-29F0	Game over

	29F1-2A02	Singe flames Dirk

	2A03-2A19	Singe's claw catches Dirk at pillar

	2A1A-2A2B	Dirk gets the magic sword but is flamed at the crystal
	
	2A2C-2A3E	Dirk raises sword (magic sword?) but is flamed

	2A3F-2A55	Dirk tries to sword at second pillar and is tail whipped

	2A56-2A67	Dirk tries to magic sword and is tail whipped

2a67	(last frame)
(10,855 frames)

